player_name,market_value_million_eur,nationality,position,club,league,age,matches_played,starts,minutes_played,goals,assists,penalty_goals,penalty_attempts,goals_per_90,assists_per_90,goals_plus_assists,passes_completed,passes_attempted,pass_completion_pct,touches,tackles,pressures,successful_pressures,blocks,interceptions,clearances
Kevin De Bruyne,120.0,BEL,MF,Manchester City,Premier League,28.0,48.0,38.0,3311.0,12.0,19.0,2.0,2.0,0.33,0.52,0.85,2084.0,2772.0,75.18,3201.0,55.0,770.0,216.0,39.0,20.0,21.0
Bernardo Silva,80.0,POR,"MF,FW",Manchester City,Premier League,24.0,63.0,50.0,4521.0,12.0,14.0,0.0,0.0,0.24,0.28,0.52,2596.0,3049.0,85.14,3603.0,90.0,1229.0,332.0,87.0,48.0,28.0
N'Golo Kanté,80.0,FRA,MF,Chelsea,Premier League,28.0,57.0,55.0,4747.0,7.0,4.0,0.0,0.0,0.13,0.08,0.21,2778.0,3195.0,86.95,3842.0,137.0,1336.0,427.0,115.0,91.0,61.0
Paul Pogba,80.0,FRA,MF,Manchester Utd,Premier League,26.0,45.0,41.0,3698.0,13.0,12.0,0.0,1.0,0.32,0.29,0.61,2307.0,2804.0,82.28,3388.0,65.0,773.0,194.0,49.0,24.0,40.0
Christian Eriksen,68.0,DEN,"MF,FW",Tottenham,Premier League,27.0,55.0,40.0,3871.0,10.0,14.0,0.0,0.0,0.23,0.33,0.56,2089.0,2728.0,76.58,3162.0,60.0,933.0,244.0,63.0,25.0,19.0
Rodri,64.0,ESP,MF,Manchester City,Premier League,23.0,63.0,56.0,4857.0,6.0,2.0,0.0,0.0,0.11,0.04,0.15,3823.0,4147.0,92.19,4652.0,166.0,1140.0,353.0,74.0,66.0,124.0
Dele Alli,64.0,ENG,"MF,FW",Tottenham,Premier League,23.0,48.0,43.0,3641.0,13.0,7.0,1.0,1.0,0.32,0.17,0.49,1461.0,1848.0,79.06,2434.0,72.0,945.0,260.0,88.0,31.0,31.0
Fabinho,56.0,BRA,MF,Liverpool,Premier League,25.0,50.0,38.0,3646.0,3.0,4.0,0.0,0.0,0.07,0.1,0.17,2569.0,2961.0,86.76,3372.0,127.0,825.0,254.0,73.0,61.0,79.0
Jorginho,52.0,ITA,MF,Chelsea,Premier League,27.0,63.0,60.0,5167.0,6.0,2.0,3.0,3.0,0.1,0.03,0.13,4309.0,4868.0,88.52,5386.0,134.0,1137.0,345.0,91.0,123.0,60.0
Declan Rice,49.5,ENG,MF,West Ham,Premier League,20.0,66.0,66.0,5883.0,2.0,2.0,0.0,0.0,0.03,0.03,0.06,2614.0,3022.0,86.5,3621.0,202.0,1515.0,431.0,116.0,115.0,115.0
James Maddison,48.0,ENG,MF,Leicester City,Premier League,22.0,67.0,64.0,5455.0,13.0,10.0,0.0,0.0,0.21,0.16,0.37,2525.0,3291.0,76.72,3971.0,115.0,1393.0,357.0,52.0,23.0,14.0
Bruno Fernandes,48.0,POR,MF,Manchester Utd,Premier League,24.0,8.0,8.0,678.0,5.0,3.0,2.0,2.0,0.66,0.4,1.06,389.0,548.0,70.99,649.0,14.0,187.0,48.0,9.0,7.0,9.0
Youri Tielemans,44.0,BEL,MF,Leicester City,Premier League,22.0,44.0,39.0,3415.0,6.0,9.0,0.0,0.0,0.16,0.24,0.4,1756.0,2135.0,82.25,2556.0,58.0,752.0,203.0,58.0,29.0,37.0
Youri Tielemans,44.0,BEL,MF,Leicester City,Premier League,,,,,,,,,,,,,,,,,,,,,
Wilfried Zaha,44.0,CIV,"MF,FW",Crystal Palace,Premier League,26.0,66.0,65.0,5776.0,13.0,8.0,0.0,0.0,0.2,0.12,0.32,1676.0,2155.0,77.77,3360.0,84.0,1470.0,391.0,61.0,24.0,6.0
Mattéo Guendouzi,40.5,FRA,MF,Arsenal,Premier League,20.0,57.0,42.0,3897.0,0.0,1.0,0.0,0.0,0.0,0.02,0.02,2430.0,2767.0,87.82,3212.0,60.0,862.0,239.0,77.0,57.0,76.0
Mason Mount,40.5,ENG,"MF,FW",Chelsea,Premier League,20.0,32.0,27.0,2515.0,6.0,4.0,0.0,0.0,0.21,0.14,0.35,999.0,1238.0,80.69,1580.0,46.0,670.0,188.0,23.0,14.0,15.0
Giovani Lo Celso,40.0,ARG,"MF,FW",Tottenham,Premier League,23.0,22.0,8.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,793.0,83.98,960.0,35.0,318.0,110.0,19.0,8.0,16.0
Giovani Lo Celso,40.0,ARG,"MF,FW",Tottenham,Premier League,,,,,,,,,,,,,,,,,,,,,
Rúben Neves,40.0,POR,MF,Wolves,Premier League,22.0,67.0,63.0,5555.0,6.0,4.0,0.0,0.0,0.1,0.06,0.16,2888.0,3596.0,80.31,4243.0,117.0,1277.0,324.0,132.0,119.0,97.0
Georginio Wijnaldum,40.0,NED,MF,Liverpool,Premier League,28.0,65.0,61.0,5162.0,6.0,0.0,0.0,0.0,0.1,0.0,0.1,2873.0,3162.0,90.86,3668.0,73.0,903.0,272.0,60.0,40.0,51.0
Lucas Torreira,36.0,URU,MF,Arsenal,Premier League,23.0,58.0,39.0,3755.0,3.0,3.0,0.0,0.0,0.07,0.07,0.14,2146.0,2454.0,87.45,2921.0,94.0,951.0,242.0,66.0,69.0,69.0
Wilfred Ndidi,36.0,NGA,MF,Leicester City,Premier League,22.0,64.0,60.0,5460.0,4.0,1.0,0.0,0.0,0.07,0.02,0.09,2842.0,3442.0,82.57,4301.0,261.0,1542.0,498.0,140.0,154.0,172.0
Naby Keïta,33.5,GUI,MF,Liverpool,Premier League,24.0,36.0,21.0,1831.0,3.0,2.0,0.0,0.0,0.15,0.1,0.25,1329.0,1495.0,88.9,1780.0,56.0,531.0,173.0,47.0,21.0,16.0
Dani Ceballos,32.0,ESP,MF,Arsenal,Premier League,22.0,41.0,26.0,2494.0,3.0,2.0,0.0,0.0,0.11,0.07,0.18,1788.0,2019.0,88.56,2355.0,68.0,717.0,190.0,46.0,40.0,22.0
Harry Winks,32.0,ENG,MF,Tottenham,Premier League,23.0,51.0,37.0,3279.0,1.0,0.0,0.0,0.0,0.03,0.0,0.03,2433.0,2705.0,89.94,2989.0,59.0,715.0,209.0,48.0,45.0,41.0
Felipe Anderson,32.0,BRA,"MF,FW",West Ham,Premier League,26.0,60.0,56.0,4536.0,10.0,8.0,0.0,0.0,0.2,0.16,0.36,2053.0,2753.0,74.57,3462.0,121.0,1121.0,276.0,88.0,66.0,24.0
Lucas Moura,32.0,BRA,"MF,FW",Tottenham,Premier League,26.0,60.0,44.0,3874.0,14.0,2.0,0.0,0.0,0.33,0.05,0.38,1050.0,1405.0,74.73,2063.0,66.0,869.0,228.0,53.0,39.0,39.0
Jack Grealish,30.5,ENG,"MF,FW",Aston Villa,Premier League,23.0,30.0,30.0,2693.0,7.0,6.0,0.0,1.0,0.23,0.2,0.43,1077.0,1355.0,79.48,1785.0,31.0,503.0,128.0,52.0,19.0,11.0
Mason Greenwood,29.0,ENG,"MF,FW",Manchester Utd,Premier League,17.0,28.0,7.0,975.0,6.0,1.0,0.0,0.0,0.55,0.09,0.64,338.0,399.0,84.71,528.0,19.0,181.0,57.0,12.0,5.0,4.0
Diogo Jota,28.0,POR,"MF,FW",Wolves,Premier League,22.0,61.0,53.0,4299.0,15.0,6.0,0.0,0.0,0.31,0.13,0.44,1185.0,1537.0,77.1,2268.0,62.0,1029.0,243.0,34.0,21.0,16.0
